card_id,name,set_code,supertype,subtypes,types,rarity,hp,retreat_count,is_basic,is_stage1,is_stage2,flavor_text,num_attacks,max_damage,min_cost,max_cost,avg_dpe,has_ability,num_abilities,txt_draw,txt_search,txt_heal,txt_status,txt_accel,txt_discard,txt_coin,txt_counter,txt_switch,txt_prevent,attack_text
base1-1,Alakazam,base1,Pokémon,Stage 2,Psychic,Rare Holo,80.0,3,0,0,1,Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.,1,30,3,3,10.0,1,1,0,0,0,1,0,0,1,1,0,0,"Flip a coin. If heads, the Defending Pokémon is now Confused. As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed. Damage Swap"
base1-2,Blastoise,base1,Pokémon,Stage 2,Water,Rare Holo,100.0,3,0,0,1,A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.,1,40,3,3,13.333333333333334,1,1,0,0,0,1,1,0,0,0,0,0,"Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count. As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed. Rain Dance"
base1-3,Chansey,base1,Pokémon,Basic,Colorless,Rare Holo,120.0,1,1,0,0,A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.,2,80,2,4,10.0,0,0,0,0,0,0,0,0,1,0,0,1,"Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.) Chansey does 80 damage to itself. "
base1-4,Charizard,base1,Pokémon,Stage 2,Fire,Rare Holo,120.0,3,0,0,1,Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.,1,100,4,4,25.0,1,1,0,0,0,1,0,1,0,0,0,0,"Discard 2 Energy cards attached to Charizard in order to use this attack. As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed. Energy Burn"
base1-5,Clefairy,base1,Pokémon,Basic,Colorless,Rare Holo,40.0,1,1,0,0,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,2,0,1,3,0.0,0,0,0,0,0,1,0,1,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Asleep. Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.) "
base1-6,Gyarados,base1,Pokémon,Stage 1,Water,Rare Holo,100.0,3,0,1,0,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",2,50,3,4,13.333333333333334,0,0,0,0,0,1,0,0,1,0,0,0," Flip a coin. If heads, the Defending Pokémon is now Paralyzed. "
base1-7,Hitmonchan,base1,Pokémon,Basic,Fighting,Rare Holo,70.0,2,1,0,0,"While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see.",2,40,1,3,16.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,  
base1-8,Machamp,base1,Pokémon,Stage 2,Fighting,Rare Holo,100.0,3,0,0,1,"Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.",1,60,4,4,15.0,1,1,0,0,0,1,0,0,0,0,0,0," Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks. Strikes Back"
base1-9,Magneton,base1,Pokémon,Stage 1,Lightning,Rare Holo,60.0,1,0,1,0,Formed by several Magnemites linked together. It frequently appears when sunspots flare up.,2,80,3,4,15.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself. "
base1-10,Mewtwo,base1,Pokémon,Basic,Psychic,Rare Holo,60.0,3,1,0,0,A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.,2,10,2,2,2.5,0,0,0,0,0,0,0,1,0,0,0,1,"Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon. Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn. "
base1-11,Nidoking,base1,Pokémon,Stage 2,Grass,Rare Holo,90.0,3,0,0,1,"Uses its powerful tail in battle to smash, constrict, then break its prey's bones.",2,30,3,3,8.333333333333334,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself. The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned). "
base1-12,Ninetales,base1,Pokémon,Stage 1,Fire,Rare Holo,80.0,1,0,1,0,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",2,80,2,4,10.0,0,0,0,0,0,0,0,1,0,0,1,0,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon. Discard 1 Fire Energy card attached to Ninetales in order to use this attack. "
base1-13,Poliwrath,base1,Pokémon,Stage 2,Water,Rare Holo,90.0,3,0,0,1,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.,2,40,3,4,10.0,0,0,0,0,0,0,0,1,0,0,0,0,"Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it. "
base1-14,Raichu,base1,Pokémon,Stage 1,Lightning,Rare Holo,80.0,1,0,1,0,Its long tail serves as a ground to protect itself from its own high-voltage power.,2,60,3,4,10.833333333333334,0,0,0,0,0,0,0,0,1,0,0,1,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu. Flip a coin. If tails, Raichu does 30 damage to itself. "
base1-15,Venusaur,base1,Pokémon,Stage 2,Grass,Rare Holo,100.0,2,0,0,1,This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,1,60,4,4,15.0,1,1,0,0,0,1,0,0,0,0,0,0," As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed. Energy Trans"
base1-16,Zapdos,base1,Pokémon,Basic,Lightning,Rare Holo,90.0,3,1,0,0,A legendary bird Pokémon said to appear from clouds while wielding enormous lightning bolts.,2,100,4,4,20.0,0,0,0,0,0,0,0,1,1,0,0,0,"Flip a coin. If tails, Zapdos does 30 damage to itself. Discard all Energy cards attached to Zapdos in order to use this attack. "
base1-17,Beedrill,base1,Pokémon,Stage 2,Grass,Rare,80.0,0,0,0,1,"Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail.",2,40,3,3,11.666666666666668,0,0,0,0,0,1,0,0,1,0,0,0,"Flip 2 coins. This attack does 30 damage times the number of heads. Flip a coin. If heads, the Defending Pokémon is now Poisoned. "
base1-18,Dragonair,base1,Pokémon,Stage 1,Colorless,Rare,80.0,2,0,1,0,A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions.,2,30,3,4,7.5,0,0,0,0,0,0,0,1,0,0,0,0,"Flip 2 coins. This attack does 30 damage times the number of heads. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it. "
base1-19,Dugtrio,base1,Pokémon,Stage 1,Fighting,Rare,70.0,2,0,1,0,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,2,70,3,4,15.416666666666668,0,0,0,0,0,0,0,0,0,0,0,0, Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) 
base1-20,Electabuzz,base1,Pokémon,Basic,Lightning,Rare,70.0,2,1,0,0,"Normally found near power plants, it can wander away and cause major blackouts in cities.",2,30,1,2,12.5,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Electabuzz does 10 damage to itself. "
base1-21,Electrode,base1,Pokémon,Stage 1,Lightning,Rare,80.0,1,0,1,0,It stores electrical energy under very high pressure. It often explodes with little or no provocation.,1,50,3,3,16.666666666666668,1,1,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If tails, Electrode does 10 damage to itself. At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokémon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed. Buzzap"
base1-22,Pidgeotto,base1,Pokémon,Stage 1,Colorless,Rare,60.0,1,0,1,0,"Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder.",2,20,2,3,5.0,0,0,0,0,0,0,0,0,0,0,1,0,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.) If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokémon. "
base1-23,Arcanine,base1,Pokémon,Stage 1,Fire,Uncommon,100.0,3,0,1,0,"A Pokémon that has been long admired for its beauty. It runs gracefully, as if on wings.",2,80,3,4,18.333333333333336,0,0,0,0,0,0,0,1,0,0,0,0,Discard 1 Fire Energy card attached to Arcanine in order to use this attack. Arcanine does 30 damage to itself. 
base1-24,Charmeleon,base1,Pokémon,Stage 1,Fire,Uncommon,80.0,1,0,1,0,"When it swings its burning tail, it raises the temperature to unbearably high levels.",2,50,3,3,13.333333333333334,0,0,0,0,0,0,0,1,0,0,0,0, Discard 1 Fire Energy card attached to Charmeleon in order to use this attack. 
