card_id,name,set_code,supertype,subtypes,hp,types,evolves_from,retreat_cost,weaknesses,rarity,attacks_json,abilities_json,flavor_text
base1-1,Alakazam,base1,Pokémon,Stage 2,80,Psychic,Kadabra,Colorless|Colorless|Colorless,Psychic,Rare Holo,"[{""name"": ""Confuse Ray"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]","[{""name"": ""Damage Swap"", ""type"": ""Pokémon Power"", ""text"": ""As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.""}]",Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.
base1-2,Blastoise,base1,Pokémon,Stage 2,100,Water,Wartortle,Colorless|Colorless|Colorless,Lightning,Rare Holo,"[{""name"": ""Hydro Pump"", ""cost"": [""Water"", ""Water"", ""Water""], ""damage"": ""40+"", ""text"": ""Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.""}]","[{""name"": ""Rain Dance"", ""type"": ""Pokémon Power"", ""text"": ""As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.""}]",A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.
base1-3,Chansey,base1,Pokémon,Basic,120,Colorless,,Colorless,Fighting,Rare Holo,"[{""name"": ""Scrunch"", ""cost"": [""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)""}, {""name"": ""Double-edge"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""80"", ""text"": ""Chansey does 80 damage to itself.""}]",[],A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.
base1-4,Charizard,base1,Pokémon,Stage 2,120,Fire,Charmeleon,Colorless|Colorless|Colorless,Water,Rare Holo,"[{""name"": ""Fire Spin"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""damage"": ""100"", ""text"": ""Discard 2 Energy cards attached to Charizard in order to use this attack.""}]","[{""name"": ""Energy Burn"", ""type"": ""Pokémon Power"", ""text"": ""As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.""}]",Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.
base1-5,Clefairy,base1,Pokémon,Basic,40,Colorless,,Colorless,Fighting,Rare Holo,"[{""name"": ""Sing"", ""cost"": [""Colorless""], ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}, {""name"": ""Metronome"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)""}]",[],Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
base1-6,Gyarados,base1,Pokémon,Stage 1,100,Water,Magikarp,Colorless|Colorless|Colorless,Grass,Rare Holo,"[{""name"": ""Dragon Rage"", ""cost"": [""Water"", ""Water"", ""Water""], ""damage"": ""50"", ""text"": """"}, {""name"": ""Bubblebeam"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",[],"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
base1-7,Hitmonchan,base1,Pokémon,Basic,70,Fighting,,Colorless|Colorless,Psychic,Rare Holo,"[{""name"": ""Jab"", ""cost"": [""Fighting""], ""damage"": ""20"", ""text"": """"}, {""name"": ""Special Punch"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""damage"": ""40"", ""text"": """"}]",[],"While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see."
base1-8,Machamp,base1,Pokémon,Stage 2,100,Fighting,Machoke,Colorless|Colorless|Colorless,Psychic,Rare Holo,"[{""name"": ""Seismic Toss"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Colorless""], ""damage"": ""60"", ""text"": """"}]","[{""name"": ""Strikes Back"", ""type"": ""Pokémon Power"", ""text"": ""Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks.""}]","Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon."
base1-9,Magneton,base1,Pokémon,Stage 1,60,Lightning,Magnemite,Colorless,Fighting,Rare Holo,"[{""name"": ""Thunder Wave"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Selfdestruct"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless"", ""Colorless""], ""damage"": ""80"", ""text"": ""Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.""}]",[],Formed by several Magnemites linked together. It frequently appears when sunspots flare up.
base1-10,Mewtwo,base1,Pokémon,Basic,60,Psychic,,Colorless|Colorless|Colorless,Psychic,Rare Holo,"[{""name"": ""Psychic"", ""cost"": [""Psychic"", ""Colorless""], ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.""}, {""name"": ""Barrier"", ""cost"": [""Psychic"", ""Psychic""], ""damage"": """", ""text"": ""Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.""}]",[],A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.
